1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
4,8,1,4,7,9,4,3,2,3,1,1,1,2,0,1,0,0,1,0,1,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,2,0,0,2,1,0,1,0,3,0,0,1,3,1,1,2,0,0,0,1,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,1,4,4,3,6,3,1,1,0,2,1,2,3,4,3,1,1,3,2,5,1,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
11,3,5,0,3,5,3,5,0,6,3,1,0,0,0,0,1,0,0,1,0,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,2,1,0,1,6,4,2,0,3,0,0,0,2,0,0,0,1,2,1,0,0,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,3,4,2,0,4,1,0,1,0,0,2,0,0,1,1,3,0,0,1,0,0,0,1,
1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,0,0,1,2,2,0,3,6,1,0,0,0,0,1,2,0,1,1,0,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,1,0,1,1,1,2,2,0,0,5,2,3,1,1,1,0,0,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,0,2,2,1,2,1,2,1,0,2,2,0,6,3,6,0,0,2,0,5,2,2,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
